PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_True
0001_01,B/0/P,0.49367088607594933,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,True,False,False,False,True,False
0002_01,F/0/S,0.3037974683544304,0.0076080128428840646,0.0003018817294468856,0.0010641920653839604,0.024500178507675833,0.0018232296026188207,Juanna Vines,True,False,False,False,False,True,False
0003_01,A/0/S,0.7341772151898734,0.0030013261673762824,0.11994767383356253,0.0,0.2996697607997144,0.002030414784734596,Altark Susent,False,True,False,False,False,True,True
0003_02,A/0/S,0.4177215189873418,0.0,0.04303491765337269,0.015792610250297972,0.14856301320956802,0.007997348029668918,Solam Susent,False,True,False,False,False,True,False
0004_01,F/1/S,0.20253164556962025,0.021148879737558454,0.0023479690068091102,0.006427720074919121,0.025214209210996073,8.287407284631003e-05,Willy Santantines,True,False,False,False,False,True,False
0005_01,F/0/P,0.5569620253164557,0.0,0.01620098614698286,0.0,0.012986433416636916,0.0,Sandie Hinetthews,True,False,False,False,True,False,False
0006_01,F/2/S,0.3291139240506329,0.0029315278844140435,0.05162177573541744,0.00012770304784607525,0.0,0.0,Billex Jacostaffey,True,False,False,False,False,True,False
0006_02,G/0/S,0.35443037974683544,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,False,False,True,False,True,False
0007_01,F/3/S,0.4430379746835443,0.0,0.02633079529064502,0.0007236506044610931,0.009639414494823279,0.0,Andona Beston,True,False,False,False,False,True,False
0008_01,B/1/P,0.17721518987341772,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,True,False,True,False,False,False
0008_02,B/1/P,0.43037974683544306,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,True,False,True,False,True,False
0008_03,B/1/P,0.569620253164557,0.002722133035527326,0.24469191292389225,0.02507236506044611,0.004908961085326669,0.005138192516471222,Wezena Flatic,True,True,False,False,False,False,False
0009_01,F/1/P,0.4050632911392405,0.005095274656243457,0.0,0.0478035075770475,0.0,0.004682385115816517,Berers Barne,True,False,True,False,False,True,False
0010_01,G/1/S,0.6075949367088608,0.05018496544984993,3.3542414382987286e-05,0.0027668993699982974,0.0,0.0009944888741557204,Reney Baketton,False,False,False,False,False,True,False
0011_01,F/2/P,0.35443037974683544,0.000558386263697913,0.03267031160902962,0.000510812191384301,8.925383791503035e-05,0.0002900592549620851,Elle Bertsontry,True,False,False,False,False,True,False
